2025-12-04T09:15:36.117453800 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:17:16.129291100 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:18:56.880408400 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:20:36.698252400 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:22:27.984845900 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:24:07.765199300 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:25:47.235741 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:27:25.905159600 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:29:04.358131400 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:30:53.177235 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:32:33.325934 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:34:11.912098900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:35:50.714647300 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:37:29.841329100 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:39:20.113694900 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:40:59.839335200 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:42:39.148039900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:45:14.497178200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:46:53.956103800 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T09:48:34.741254600 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T13:58:04.361564600 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 3801
2025-12-04T13:59:42.280971900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-05T11:16:25.221963700 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 72443 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:19:05.213961500 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:20:44.555705200 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:22:25.726832600 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:24:14.544811200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:25:52.368249800 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:27:31.166301900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:29:09.665361200 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:30:51.178460100 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:32:41.816682500 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:34:22.893388600 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:36:02.825979900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:37:40.617227700 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:39:22.996145 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:41:11.731925300 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:42:49.240425900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:44:26.728549600 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:46:04.438868400 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:47:42.378184600 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:49:31.938917600 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-05T11:51:11.777134900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
